Show_Id,Category,Title,Director,Cast,Country,Release_Date,Rating,Duration,Type,Description,Year_Added,Month_Added,Main_Genre,Main_Country
s7510,Movie,We Summon the Darkness,Marc Meyers,"Alexandra Daddario, Amy Forsyth, Keean Johnson, Maddie Hasson, Logan Miller, Austin Swift, Johnny Knoxville, Allison McAtee, Tanner Beard","United States, Canada, United Kingdom",2020-08-08,R,90 min,"Horror Movies, Thrillers",A night at a 1980s heavy metal concert hits a grisly note when new friends find themselves in the middle of a satanic murder spree.,2020.0,8.0,Horror Movies,United States
s1028,Movie,Bokeh,"Geoffrey Orthwein, Andrew Sullivan","Maika Monroe, Matt O'Leary, Arnar JÃ³nsson, Gunnar Helgason, Berglind RÃ³s SigurÃ°ardÃ³ttir","United States, Iceland",2017-06-22,TV-14,92 min,"Dramas, Independent Movies, Sci-Fi & Fantasy","After learning they are the sole survivors of an eerie apocalypse, a young American couple on vacation in Iceland ponder their love and the future.",2017.0,6.0,Dramas,United States
s2463,Movie,Going for Gold,Clay Glen,"Kelli Berglund, Emily Morris, Terry Rogers, Jess Kuss, Jo Stone, Elysia Markou, Daisy Anderson, Ruth Natalie Fallon, Henry Turczynowicz, Martha Lott",Australia,2018-07-15,TV-G,88 min,"Children & Family Movies, Dramas, International Movies","After moving to Australia, an American teen convinces her new friends to form a cheer squad and take on their biggest rivals in competition.",2018.0,7.0,Children & Family Movies,Australia
s1010,Movie,Bo Burnham: what.,"Bo Burnham, Christopher Storer",Bo Burnham,United States,2018-07-01,TV-MA,60 min,Stand-Up Comedy,Left brain and right brain duke it out â€“ and ultimately belt out a melody â€“ in stand-up comedian Bo Burnham's quick and clever one-man show.,2018.0,7.0,Stand-Up Comedy,United States
s394,TV Show,Alice in Borderland,Unknown,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka",Japan,2020-12-10,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries","An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",2020.0,12.0,International TV Shows,Japan
s231,Movie,A Sort of Family,Diego Lerman,"BÃ¡rbara Lennie, Daniel ArÃ¡oz, Claudio Tolcachir, Paula Cohen, Yanina Ãvila","Argentina, Brazil, France, Poland, Germany, Denmark",2018-04-01,TV-14,96 min,"Dramas, International Movies, Thrillers",An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,2018.0,4.0,Dramas,Argentina
s7226,TV Show,Trio and a Bed,Unknown,"Annabelle Kong, Amber Chia, Carmen Soo, Danny Wan, Daniel Tan, Jeffrey Cheng",Unknown,2018-04-27,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","After graduation, three women from distinct backgrounds find themselves in the real world, facing the challenges of work, romance and unexpected fame.",2018.0,4.0,International TV Shows,Unknown
s545,TV Show,Another Miss Oh,Unknown,"Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo",South Korea,2019-10-16,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","A sound director who suddenly starts getting visions of someone elseâ€™s future gets mired in the lives of two women, who happen to share the same name.",2019.0,10.0,International TV Shows,South Korea
s7257,Movie,Trumbo,Jay Roach,"Bryan Cranston, Diane Lane, Elle Fanning, John Goodman, Helen Mirren, Louis C.K., Alan Tudyk, Michael Stuhlbarg, Adewale Akinnuoye-Agbaje, Dean O'Gorman",United States,2020-05-19,R,124 min,"Dramas, Independent Movies","When he is blacklisted by Hollywood for his leftist political views, screenwriter Dalton Trumbo struggles to find work in secret as a ghost writer.",2020.0,5.0,Dramas,United States
s510,Movie,Andhaghaaram,V Vignarajan,"Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",Unknown,2020-11-24,TV-14,171 min,"Horror Movies, International Movies, Thrillers","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",2020.0,11.0,Horror Movies,Unknown
s4862,Movie,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard",United States,2020-09-01,R,112 min,"Action & Adventure, Comedies","After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them.",2020.0,9.0,Action & Adventure,United States
s6724,Movie,The Only Mother To You All,Wenn V. Deramas,"Ai-Ai de las Alas, Shaina Magdayao, Carlo Aquino, Alwyn Uytingco, Eugene Domingo, Deejay Durano, Serena Dalrymple, Jiro Manio, Yuki Kadooka, Cherry Pie Picache, Gloria Diaz",Philippines,2019-02-27,TV-PG,106 min,"Comedies, International Movies","Raising her large family alone after her husband's death, Ina searches for work and finally lands the most unlikely job: president of the Philippines.",2019.0,2.0,Comedies,Philippines
s1727,Movie,Devil's Bride,Saara Cantell,"Tuulia Eloranta, Magnus Krepper, Elin Petersdottir, Claes Malmberg, Kaija Pakarinen, Antti Reini, Lauri Tanskanen, Johanna af SchultÃ©n, Maria Sid, Pirkko HÃ¤mÃ¤lÃ¤inen, Sonja Halla-aho","Finland, Sweden, Norway, Latvia, Germany",2017-06-01,TV-MA,108 min,"Dramas, International Movies","On a small Finnish island in 1666, a teenage girl in love with a married fisherman becomes the center of a tragic witch hunt and power struggle.",2017.0,6.0,Dramas,Finland
s1321,Movie,Chhota Bheem Ka Troll Se Takkar,"Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",Unknown,2019-05-10,TV-Y7,62 min,Movies,Trolls kidnap the king's daughters and overtake the kingdom of Messina. Can Bheem track them down and bring the princesses home?,2019.0,5.0,Movies,Unknown
s3962,Movie,Marvel Super Hero Adventures: Frost Fight!,Mitch Schauer,"Mick Wingert, Matthew Mercer, Travis Willingham, Fred Tatasciore, Grey DeLisle, Troy Baker, Antony Del Rio, Trevor Devall, Kevin Michael Richardson, Steve Blum, Jane Singer",United States,2016-02-24,PG,74 min,"Children & Family Movies, Sci-Fi & Fantasy","In this Christmas-themed special, Captain America and the Avengers battle Loki and Ymir, who plot to steal Santa Claus' powers and conquer the world.",2016.0,2.0,Children & Family Movies,United States
s1018,Movie,Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Supriya Pathak, Tanvi Azmi, Zarina Wahab, Kiran Kumar, Rajendra Gupta, Arjan Bajwa, Prasad Barve, Aakash Dahiya",India,2020-12-31,TV-14,116 min,"Comedies, Dramas, International Movies","With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious â€“ and suspicious â€“ stranger.",2020.0,12.0,Comedies,India
s62,TV Show,12 Years Promise,Unknown,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",South Korea,2017-05-22,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",2017.0,5.0,International TV Shows,South Korea
s7696,Movie,Yaara O Dildaara,Ksshitij Chaudhary,"Harbhajan Mann, Tulip Joshi, Kabir Bedi, Gulzar Chahal, Jonita, Gurpreet Ghuggi, Gurpreet Grewal, Neena Cheema, Sunita Dhir",India,2017-11-01,TV-14,132 min,"Dramas, International Movies, Music & Musicals",The patriarch of a wealthy family with one industrious son and one who's a playboy arranges for the marriage of one to the woman the other loves.,2017.0,11.0,Dramas,India
s6705,Movie,The New Romantic,Carly Stone,"Timm Sharp, Hayley Law, Camila Mendes, Brett Dier, Jessica Barden, Avan Jogia",Canada,2019-04-15,TV-MA,82 min,"Comedies, Independent Movies, Romantic Movies","Fed up with dating and debt, a naÃ¯ve college senior documents her experience of being with a wealthy, older man for a gonzo journalism grant.",2019.0,4.0,Comedies,Canada
s5908,Movie,Superfly,Gordon Parks,"Ron O'Neal, Carl Lee, Sheila Frazier, Julius Harris, Charles McGregor, Nate Adams, Polly Niles, Yvonne Delaine",United States,2019-11-01,R,91 min,"Action & Adventure, Classic Movies, Dramas","To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over.",2019.0,11.0,Action & Adventure,United States
s4199,Movie,Monster High: Why Do Ghouls Fall in Love?,"Dustin McKenzie, Steve Sacks","Laura Bailey, Ogie Banks, Cam Clarke, Debi Derryberry, Erin Fitzgerald, Kate Higgins, Jonathan Lipow, Audu Paden, Cindy Robinson, Salli Saffioti, Evan Smith, America Young",United States,2018-01-01,TV-Y7,46 min,Children & Family Movies,Draculaura's ghoulfriends have some suspicions about one of her two persistent suitors â€“ but can they stop him before he steals her un-beating heart?,2018.0,1.0,Children & Family Movies,United States
s1245,Movie,Catching the Sun,Shalini Kantayya,Unknown,"China, Germany, India, United States",2016-04-22,TV-14,74 min,Documentaries,This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.,2016.0,4.0,Documentaries,China
s7578,Movie,When Angels Sleep,Gonzalo Bendala,"JuliÃ¡n VillagrÃ¡n, Marian Ãlvarez, Ester ExpÃ³sito, Sira Alonso de AlarcÃ³n, Asia Ortega, Daniel Jumillas, Christian Mulas",Spain,2018-12-28,TV-MA,96 min,"Dramas, International Movies, Thrillers","After a businessman falls asleep at the wheel and hits a woman with his car, his interactions with her scared friend unleash a string of dark events.",2018.0,12.0,Dramas,Spain
s4717,TV Show,Ozark,Unknown,"Jason Bateman, Sofia Hublitz, Laura Linney, Skylar Gaertner, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery",United States,2020-03-27,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers","A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",2020.0,3.0,Crime TV Shows,United States
s1430,Movie,"Club de Cuervos Presents: I, Potro",Marcos Bucay,"JoaquÃ­n Ferreira, Marcela Ãlvarez, BenjamÃ­n Alfonso, Emilia Claudeville, Mauricio Llera, Sol Gaschetto, MartÃ­n Seefeld, MartÃ­n Rocco, Gonzalo VIzÃ¡n","Mexico, Argentina",2018-10-19,TV-MA,51 min,Movies,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.,2018.0,10.0,Movies,Mexico
s6340,TV Show,The Expanding Universe of Ashley Garcia,Unknown,"Paulina ChÃ¡vez, Jencarlos Canela",United States,2020-12-09,TV-PG,3 Seasons,"Kids' TV, TV Comedies, Teen TV Shows",15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.,2020.0,12.0,Kids' TV,United States
s713,Movie,Bana Masal Anlatma,Burak Aksak,"Hande DoÄŸandemir, Fatih Artman, Devrim Yakut, Cengiz Bozkurt, Erdal Tosun, Berat Yenilmez, Ercan Yazgan, Sadi Celil Cengiz, Cihan Ercan, Burcu Biricik, TarÄ±k ÃœnlÃ¼oÄŸlu, GÃ¼rkan Uygun, GÃ¶kÃ§e BahadÄ±r",Turkey,2017-03-10,TV-14,103 min,"Comedies, International Movies, Romantic Movies","Minibus driver Riza is a steady presence in his close-knit neighborhood, until he brings home a dreamy beauty and throws everything into chaos.",2017.0,3.0,Comedies,Turkey
s320,TV Show,Afflicted,Unknown,Unknown,United States,2018-08-10,TV-MA,1 Season,"Docuseries, Reality TV, Science & Nature TV",Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers â€“ and relief.,2018.0,8.0,Docuseries,United States
s4537,Movie,NOVA: Secrets of the Shining Knight,Peter Yost,Jay O. Sanders,United States,2019-07-01,TV-PG,53 min,Documentaries,A master armorer and his team recreate parts of a knight's medieval armor and test its strength while rediscovering centuries-old metalworking secrets.,2019.0,7.0,Documentaries,United States
s3048,Movie,Ip Man,Wilson Yip,"Donnie Yen, Simon Yam, Louis Fan, Lam Ka Tung, Xing Yu, Wong You-nam, Chen Zhi Hui, Lynn Hung, Hiroyuki Ikeuchi","Hong Kong, China",2016-01-15,R,107 min,"Action & Adventure, Dramas, International Movies","An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight â€“ at first.",2016.0,1.0,Action & Adventure,Hong Kong
s5159,Movie,Remember Me,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Chris Cooper, Lena Olin, Pierce Brosnan, Tate Ellington, Ruby Jerins, Gregory Jbara, Meghan Markle",United States,2020-08-01,PG-13,112 min,"Dramas, Romantic Movies","Tyler's still feeling lost following the tragedy that's strained his relationship with his father when he meets Ally, a girl who understands his pain.",2020.0,8.0,Dramas,United States
s1173,Movie,Calibre,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, Cameron Jack",United Kingdom,2018-06-29,TV-MA,101 min,"Dramas, International Movies, Thrillers",Two lifelong friends on a hunting trip in Scotland find their nerves â€“ and their morals â€“ ruthlessly tested after a harrowing turn of events.,2018.0,6.0,Dramas,United Kingdom
s4311,Movie,My Daddy is in Heaven,Waymon Boone,"Jenn Gotzon Chandler, Corbin Bernsen, Lorenzo Lamas, T.C. Stallings, Jill Morrison, Lane Garrison, Jake Jacobson, Lee Benton, Riley St. John, Cricket St. John",United States,2018-06-12,TV-14,95 min,"Dramas, Faith & Spirituality","After the sudden loss of her husband, a mother has a crisis of faith and struggles to keep her life together for the sake of her daughter and herself.",2018.0,6.0,Dramas,United States
s6408,TV Show,The goop lab with Gwyneth Paltrow,Unknown,"Gwyneth Paltrow, Elise Loehnen",United States,2020-01-24,TV-MA,1 Season,Reality TV,"Leading with curiosity, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics.",2020.0,1.0,Reality TV,United States
s867,Movie,Bewafaa,Dharmesh Darshan,"Anil Kapoor, Akshay Kumar, Kareena Kapoor, Sushmita Sen, Shamita Shetty, Manoj Bajpayee, Kabir Bedi, Nafisa Ali, Supriya Pathak, Raj Premi, Supriya Karnik",India,2019-07-21,TV-PG,149 min,"Dramas, International Movies, Romantic Movies","A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else.",2019.0,7.0,Dramas,India
s4752,Movie,Pandigai,Feroz,"Kreshna, Anandhi, Saravanan, Madhusudhanan, Black Pandi, Nitin Sathyaa, Aruldass, Karunas, Shanmugha Rajan, Prinz Nithik",India,2019-01-15,TV-MA,125 min,"Action & Adventure, Dramas, International Movies","Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that.",2019.0,1.0,Action & Adventure,India
s1883,TV Show,Drug Squad: Costa del Sol,Unknown,"Hugo Silva, Ãlvaro Cervantes, Miki EsparbÃ©, JesÃºs Castro, Sara SÃ¡lamo, Jorge UsÃ³n, Cayetana Cabezas, Pablo BÃ©jar, Marco CÃ¡ceres, Olivia DelcÃ¡n, Jorge Suquet, Daniel HolguÃ­n, JoaquÃ­n Galletero, Carolina Yuste, Ana FernÃ¡ndez",Spain,2019-10-25,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.,2019.0,10.0,Crime TV Shows,Spain
s2474,Movie,Gone are the Days,Mark Landre Gould,"Lance Henriksen, Tom Berenger, Meg Steedle, Danny Trejo",United States,2019-01-01,R,100 min,Independent Movies,"As a notorious outlaw comes to grips with his past, he reconnects with his estranged daughter and gets one more shot to make things right.",2019.0,1.0,Independent Movies,United States
s4208,Movie,Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes",United Kingdom,2019-01-02,PG,92 min,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.,2019.0,1.0,Action & Adventure,United Kingdom
s80,Movie,20 Feet From Stardom,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, TÃ¡ta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",United States,2018-09-22,PG-13,91 min,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",2018.0,9.0,Documentaries,United States
s3363,Movie,Khushi,"Surya S.J., Sunil Kumar Agrawal","Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand",India,2018-03-01,TV-14,157 min,"Comedies, International Movies, Music & Musicals","While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",2018.0,3.0,Comedies,India
s6049,Movie,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"Felix Herngren, MÃ¥ns Herngren","Robert Gustafsson, Jens HultÃ©n, Caroline Boulton, Colin McFarlane, Cory Peterson, Jay Simpson, David Schaal",Sweden,2017-04-25,TV-MA,108 min,"Comedies, International Movies","In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula.",2017.0,4.0,Comedies,Sweden
s6429,Movie,The Guernsey Literary and Potato Peel Pie Society,Mike Newell,"Lily James, Michiel Huisman, Penelope Wilton, Tom Courtenay, Jessica Brown Findlay, Katherine Parkinson, Matthew Goode","United Kingdom, France, United States",2018-08-10,TV-PG,124 min,"Dramas, Romantic Movies",A London writer bonds with the colorful residents of Guernsey as she learns about the book club they formed during the WWII German occupation.,2018.0,8.0,Dramas,United Kingdom
s2523,Movie,Grease,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci, Kelly Ward, Didi Conn, Jamie Donnelly, Dinah Manoff, Eve Arden, Dody Goodman, Sid Caesar, Joan Blondell, Frankie Avalon",United States,2019-11-01,PG,110 min,"Classic Movies, Comedies, Music & Musicals",John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for â€“ much to his friends' chagrin.,2019.0,11.0,Classic Movies,United States
s880,TV Show,Bh Se Bhade,Unknown,"Deven Bhojani, Suchita Trivedi, Sarita Joshi, Varun Khandelwal, Bhavna Khatri, Dushyant Wagh, Gulfam Khan, Atul Parchure",India,2018-04-01,TV-PG,1 Season,"International TV Shows, TV Comedies","A kind-hearted insurance agent has the mysterious power to temporarily shoulder the problems and pain of others, with comic results in his own life.",2018.0,4.0,International TV Shows,India
s6110,Movie,The Bad Kids,"Keith Fulton, Louis Pepe",Unknown,United States,2017-04-01,TV-MA,101 min,Documentaries,"In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students.",2017.0,4.0,Documentaries,United States
s5286,Movie,Rosemary's Baby,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, Maurice Evans, Ralph Bellamy, Patsy Kelly, Elisha Cook Jr., Emmaline Henry, Charles Grodin",United States,2019-11-01,R,137 min,"Classic Movies, Horror Movies, Thrillers","A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.",2019.0,11.0,Classic Movies,United States
s2133,Movie,Father Soldier Son,"Leslye Davis, Catrin Einhorn",Unknown,United States,2020-07-17,R,100 min,Documentaries,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption.",2020.0,7.0,Documentaries,United States
s738,Movie,Barbie in A Mermaid Tale,Adam Wood,"Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Peter Mel, Nakia Burrise, Maryke Hendrikse, Emma Pierson, Ciara Janson, Garry Chalk, Nicole Oliver",United States,2017-10-01,TV-Y,74 min,Children & Family Movies,"Surf champ Merliah discovers she's actually a mermaid in a girl's body. With the help of a dolphin, Merliah must rescue her mom, the Queen of Oceana.",2017.0,10.0,Children & Family Movies,United States
s4392,TV Show,Nailed It! Spain,Unknown,"La Terremoto de AlcorcÃ³n, Christian EscribÃ ",Spain,2019-10-25,TV-PG,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows","On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.",2019.0,10.0,International TV Shows,Spain
s4040,Movie,Mercenary,Sacha Wolff,"Toki Pilioko, Iliana Zabeth, Mikaele Tuugahala, Laurent Pakihivatau, Petelo Sealeu, Maoni Talalua, Teotola Maka, Bessarion Udesiani",France,2016-12-04,TV-MA,99 min,"Dramas, International Movies, Sports Movies","When he defies his cruel father and leaves New Caledonia to play rugby in France, young Soane learns hard lessons about life, love and success.",2016.0,12.0,Dramas,France
s2847,TV Show,How to Live Mortgage Free with Sarah Beeny,Unknown,Unknown,Unknown,2018-09-15,TV-MA,1 Season,"British TV Shows, International TV Shows, Reality TV",Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.,2018.0,9.0,British TV Shows,Unknown
s1863,Movie,Dream Big: Engineering Our World,Greg MacGillivray,Jeff Bridges,United States,2018-07-01,TV-G,42 min,Documentaries,"Narrated by Jeff Bridges, this compelling documentary examines some incredible achievements of engineering from across the globe.",2018.0,7.0,Documentaries,United States
s7586,Movie,When Two Worlds Collide,"Heidi Brandenburg, Mathew Orzel",Unknown,"Peru, United States, United Kingdom",2016-11-30,TV-14,103 min,"Documentaries, International Movies",This documentary takes a hard look at how indigenous peoples clashed violently with the Peruvian government over land and economics in the Amazon.,2016.0,11.0,Documentaries,Peru
s1298,TV Show,Check The Store Next Door: The Next Chapter,Unknown,"Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong",Indonesia,2020-12-02,TV-14,2 Seasons,"International TV Shows, TV Comedies, TV Dramas","When a former shop owner grows bored of retirement, he buys a fish pond and manages the new hijinks in his life with a staff of quirky employees.",2020.0,12.0,International TV Shows,Indonesia
s4488,TV Show,No Game No Life,Unknown,"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Mugihito, Naomi Shindo",Japan,2020-02-01,TV-MA,1 Season,"Anime Series, International TV Shows",Legendary gamer siblings Sora and Shiro are transported to a world where life is a series of games and humanity is in grave danger of extinction.,2020.0,2.0,Anime Series,Japan
s3930,Movie,Marc Maron: Thinky Pain,Lance Bangs,Marc Maron,United States,2018-11-01,TV-MA,95 min,Stand-Up Comedy,"Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend.",2018.0,11.0,Stand-Up Comedy,United States
s2930,Movie,ë°˜ë“œì‹œ ìž¡ëŠ”ë‹¤,Hong-seon Kim,Baek Yoon-sik,South Korea,2018-02-28,TV-MA,110 min,"Dramas, International Movies, Thrillers","After people in his town start turning up dead, a grumpy landlord is visited by a man who recounts an unsolved serial murder case from 30 years ago.",2018.0,2.0,Dramas,South Korea
s3188,Movie,Jis Desh Men Ganga Behti Hai,Radhu Karmakar,"Raj Kapoor, Padmini, Pran, Chanchal, Lalita Pawar, Raj Mehra, Tiwari, Nana Palsikar, Nayampally, Sulochana Chatterjee",Unknown,2019-12-31,TV-14,181 min,"Action & Adventure, Dramas, International Movies","Falling in with a band of outlaws during a holy pilgrimage, a country boy tries to change their violent ways ahead of a showdown with the authorities.",2019.0,12.0,Action & Adventure,Unknown
s6804,Movie,The Rat Race,Miriam Chandy Menacherry,Unknown,India,2017-01-01,TV-PG,52 min,"Documentaries, International Movies","Examine the troublesome coexistence of humans and rodents in Mumbai, where the byproducts of a big economy have led to a thriving rat population.",2017.0,1.0,Documentaries,India
s6823,Movie,The Ring,Gore Verbinski,"Naomi Watts, Martin Henderson, David Dorfman, Brian Cox, Jane Alexander, Lindsay Frost, Amber Tamblyn, Rachael Bella, Daveigh Chase, Shannon Cochran",United States,2020-01-01,PG-13,116 min,"Horror Movies, Thrillers",A reporter watches a video that supposedly sets in motion the viewer's death in seven days. Can she unravel the mystery before her own time is up?,2020.0,1.0,Horror Movies,United States
s4425,Movie,National Treasure,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer",United States,2018-06-01,PG,131 min,"Action & Adventure, Children & Family Movies","Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin.",2018.0,6.0,Action & Adventure,United States
s2277,Movie,Freedom at Midnight,Tinu Pappachan,"Antony Varghese, Vinayakan, Chemban Vinod Jose, Tito Wilson, Sinoj Varghese, Aswathy Manoharan",Unknown,2018-10-01,TV-MA,135 min,"Dramas, International Movies, Thrillers","Jailed after becoming entangled in the murder of a cop, a prisoner assembles a team of inmates to hatch a plan for making a getaway.",2018.0,10.0,Dramas,Unknown
s1047,TV Show,Border Patrol,Unknown,Timothy Balme,Unknown,2019-10-02,TV-PG,1 Season,Reality TV,This reality TV series follows the men and women of New Zealand's border patrol in their quest to keep their country safe and secure.,2019.0,10.0,Reality TV,Unknown
s1303,Movie,Chef,Jon Favreau,"Jon Favreau, SofÃ­a Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters",United States,2020-12-01,R,115 min,"Comedies, Independent Movies","After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck.",2020.0,12.0,Comedies,United States
s3506,TV Show,La Rosa de Guadalupe,Unknown,"Milia Nader, Francisco AvendaÃ±o, Diego Lara, Sandra Itzel, Marisol del Olmo, Aleyda Gallardo, Gerardo MurguÃ­a, Roxana Saucedo, Emmanuel Orenday, Maru DueÃ±as",Mexico,2019-01-15,TV-PG,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows","This series responds to the need to believe in miracles, dreams, love stories and happy endings, with positive characters.",2019.0,1.0,Classic & Cult TV,Mexico
s7171,Movie,Trailer Park Boys Live at the North Pole,"Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Jacob Rolfe, Marguerite McNeil, Doug Barron, Paul Doucette, Gareth Meagher",Canada,2018-03-01,TV-MA,89 min,Movies,Bubbles's plan to spread the true meaning of Christmas is dashed by Julian's wish to cash in on the holiday and Ricky's quest to meet the real Santa.,2018.0,3.0,Movies,Canada
s234,Movie,A StoryBots Christmas,"Evan Spiridellis, Jeff Gill","Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis, Jim Meskimen, Nate Theis",United States,2017-12-01,TV-Y,26 min,"Children & Family Movies, Comedies","Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus â€“ only to find he's missing.",2017.0,12.0,Children & Family Movies,United States
